target,sensor_id,missing_pct,longest_missing_run_steps,longest_constant_nonzero_run_steps,max_mph,pct_above_80mph,mean_nonzero_mph
43,760024,6.279,381,3,70.0,0.0,54.3
44,774012,7.546,442,5,70.0,0.0,66.33
45,774011,7.546,442,3,70.0,0.0,66.27
46,767609,10.778,402,3,70.0,0.0,61.46
47,769359,6.548,381,2,70.0,0.0,53.59
48,760650,8.756,857,3,70.0,0.0,49.92
49,716956,8.001,381,3,70.0,0.0,60.08
50,769831,6.626,381,3,70.0,0.0,59.12
51,761604,8.459,381,3,70.0,0.0,50.45
52,717495,7.035,381,3,70.0,0.0,57.09
53,716554,8.762,854,3,70.0,0.0,54.78
54,773953,6.384,381,3,70.0,0.0,58.31
55,767470,10.192,402,3,70.0,0.0,60.81
56,716955,15.68,857,4,70.0,0.0,38.83
57,764949,6.393,381,3,70.0,0.0,55.43
58,773954,6.335,381,3,70.0,0.0,60.21
59,767366,6.772,381,3,70.0,0.0,60.35
60,769444,10.708,1330,3,70.0,0.0,54.22
61,773939,6.469,381,3,70.0,0.0,53.41
62,774067,9.606,381,19,70.0,0.0,60.45
63,769443,10.732,1330,3,70.0,0.0,57.46
64,767750,6.682,381,3,70.0,0.0,63.45
65,767751,6.679,381,5,70.0,0.0,62.47
66,767610,11.339,402,4,70.0,0.0,65.74
67,773880,6.974,381,5,70.0,0.0,66.75
68,764766,6.285,381,3,70.0,0.0,62.72
69,717497,6.481,381,4,70.0,0.0,58.61
70,717490,11.779,1683,3,69.8,0.0,59.1
71,717491,11.747,1683,4,70.0,0.0,60.76
72,717492,6.53,381,3,70.0,0.0,56.85
73,717493,7.149,381,4,70.0,0.0,51.72
74,765176,6.463,381,4,70.0,0.0,62.88
75,717498,6.457,381,3,70.0,0.0,47.08
76,717499,6.472,381,3,68.0,0.0,50.39
77,765171,7.901,381,3,70.0,0.0,55.34
78,718064,6.288,381,4,70.0,0.0,64.07
79,718066,6.273,381,4,70.0,0.0,64.78
80,765164,6.358,381,4,70.0,0.0,62.41
81,769431,10.717,1330,4,70.0,0.0,51.37
82,769430,11.928,1330,3,70.0,0.0,54.57
83,717610,9.185,381,3,70.0,0.0,62.36
84,767053,6.349,381,3,70.0,0.0,51.14
85,767621,9.527,402,3,70.0,0.0,65.47
86,772596,6.273,381,4,70.0,0.0,59.85
87,772597,6.279,381,5,70.0,0.0,59.68
88,767350,6.346,381,4,70.0,0.0,59.61
89,767351,6.273,381,3,70.0,0.0,63.35
90,716571,7.578,381,5,70.0,0.0,66.91
91,773023,6.323,381,3,66.6,0.0,38.47
92,767585,10.513,402,4,70.0,0.0,67.3
93,773024,6.332,381,3,70.0,0.0,59.99
94,717483,7.268,381,3,69.1,0.0,58.97
95,718379,8.214,381,3,70.0,0.0,55.33
96,717481,15.065,390,8,70.0,0.0,65.82
97,717480,6.428,381,3,70.0,0.0,61.6
98,717486,6.384,381,3,70.0,0.0,55.34
99,764120,6.279,381,3,70.0,0.0,66.7
100,772151,6.364,381,3,70.0,0.0,54.59
101,718371,8.739,381,3,70.0,0.0,56.87
102,717489,7.041,381,3,68.0,0.0,56.11
103,717488,6.583,381,4,70.0,0.0,60.61
104,717818,6.39,381,3,70.0,0.0,61.96
105,718076,20.104,875,82,70.0,0.0,67.29
106,718072,12.051,381,7,70.0,0.0,65.46
107,767455,10.414,402,6,70.0,0.0,67.73
108,767454,12.418,413,4,70.0,0.0,67.52
109,761599,9.425,588,3,70.0,0.0,57.76
110,717099,8.967,852,3,70.0,0.0,64.6
111,773916,7.726,381,5,70.0,0.0,62.13
112,716968,9.959,1134,4,70.0,0.0,55.93
113,769467,6.3,381,4,70.0,0.0,57.23
114,717576,13.641,1118,14,70.0,0.0,64.14
115,717573,7.925,381,3,70.0,0.0,62.02
116,717572,6.308,381,3,70.0,0.0,61.46
117,717571,6.355,381,3,70.0,0.0,61.67
118,717570,6.857,381,5,70.0,0.0,65.86
119,764760,6.329,381,4,70.0,0.0,61.23
120,718089,8.94,381,4,70.0,0.0,57.98
121,769847,7.96,381,5,70.0,0.0,59.72
122,717608,6.27,381,3,70.0,0.0,62.83
123,767523,6.268,381,4,70.0,0.0,67.2
124,716942,8.295,381,3,70.0,0.0,54.67
125,718090,8.398,381,3,70.0,0.0,51.41
126,769867,6.618,381,3,70.0,0.0,57.74
127,717472,10.746,382,7,70.0,0.0,56.2
128,717473,7.0,381,3,70.0,0.0,61.38
129,759591,10.131,564,3,70.0,0.0,60.15
130,764781,6.305,381,3,70.0,0.0,57.02
131,765099,6.332,381,3,70.0,0.0,54.39
132,762329,7.729,384,4,70.0,0.0,66.52
133,716953,8.727,857,4,70.0,0.0,56.42
134,716951,8.199,381,3,70.0,0.0,57.74
135,767509,6.486,381,3,70.0,0.0,62.62
136,765182,6.539,381,4,70.0,0.0,62.12
137,769358,6.536,381,3,70.0,0.0,53.77
138,772513,8.923,381,3,70.0,0.0,60.73
139,716958,8.751,381,3,70.0,0.0,54.93
140,718496,10.7,1134,39,70.0,0.0,55.56
141,769346,6.545,381,3,70.0,0.0,56.95
142,773904,7.671,381,5,70.0,0.0,58.83
143,718499,9.089,381,4,70.0,0.0,58.97
144,764853,6.481,381,15,70.0,0.0,40.76
145,761003,6.358,381,5,70.0,0.0,63.45
146,717502,9.072,381,3,70.0,0.0,55.6
147,759602,8.978,381,3,70.0,0.0,60.84
148,717504,9.086,381,3,70.0,0.0,56.51
149,763995,9.031,575,15,70.0,0.0,59.43
150,717508,10.455,381,3,70.0,0.0,55.0
151,765265,6.323,381,3,70.0,0.0,55.06
152,773996,7.589,442,3,70.0,0.0,61.42
153,773995,7.546,442,3,70.0,0.0,62.89
154,717469,6.3,381,3,70.0,0.0,55.68
155,717468,6.285,381,4,70.0,0.0,51.17
156,764106,6.268,381,3,66.0,0.0,55.81
157,717465,6.329,381,3,70.0,0.0,59.54
158,764794,6.349,381,3,70.0,0.0,54.6
159,717466,6.308,381,3,70.0,0.0,52.55
160,717461,8.284,399,9,70.0,0.0,47.0
161,717460,8.278,399,3,70.0,0.0,62.82
162,717463,6.291,381,3,70.0,0.0,62.75
163,717462,6.361,381,7,70.0,0.0,50.81
164,769345,6.527,381,4,70.0,0.0,55.57
165,716943,8.307,381,3,70.0,0.0,51.78
166,772669,10.595,399,64,70.0,0.0,63.69
167,717582,6.53,381,4,70.0,0.0,66.26
168,717583,9.037,854,4,70.0,0.0,64.34
169,717580,8.759,854,3,70.0,0.0,64.79
170,716949,8.555,381,3,70.0,0.0,56.16
171,717587,9.255,854,4,70.0,0.0,65.84
172,772178,6.384,381,5,70.0,0.0,54.82
173,717585,9.953,854,4,70.0,0.0,65.43
174,716939,18.861,905,3,70.0,0.0,52.64
175,768469,6.609,381,3,70.0,0.0,60.85
176,764101,7.032,381,3,70.0,0.0,62.9
177,767554,6.58,381,3,70.0,0.0,61.99
178,773975,6.364,381,3,70.0,0.0,64.11
179,773974,6.317,381,3,69.6,0.0,56.14
180,717510,15.044,381,3,70.0,0.0,58.03
181,717513,14.061,381,3,70.0,0.0,59.94
182,717825,6.282,381,3,70.0,0.0,63.73
183,767495,9.676,393,7,70.0,0.0,67.71
184,767494,6.434,381,3,70.0,0.0,63.92
185,717821,6.775,381,3,70.0,0.0,62.3
186,717823,6.297,381,3,70.0,0.0,61.02
187,717458,6.32,381,2,70.0,0.0,43.61
188,717459,6.294,381,4,70.0,0.0,61.48
189,769926,7.972,381,3,70.0,0.0,62.06
190,764858,6.335,381,3,70.0,0.0,60.0
191,717450,6.734,381,3,70.0,0.0,48.68
192,717452,6.343,381,3,70.0,0.0,58.36
193,717453,6.469,381,3,70.0,0.0,45.29
194,759772,10.948,1160,3,70.0,0.0,55.98
195,717456,6.588,381,3,70.0,0.0,62.52
196,771673,8.415,381,3,70.0,0.0,32.76
197,772167,6.682,381,3,65.0,0.0,40.51
198,769372,6.402,381,3,70.0,0.0,62.13
199,774204,10.636,1134,5,70.0,0.0,57.31
200,769806,6.335,381,5,70.0,0.0,63.84
201,717590,9.06,852,4,70.0,0.0,65.24
202,717592,9.037,852,3,70.0,0.0,62.57
203,717595,6.606,381,3,70.0,0.0,66.9
204,772168,6.273,381,4,70.0,0.0,58.36
205,718141,7.37,381,10,70.0,0.0,63.61
206,769373,6.332,381,3,70.0,0.0,54.66
