sample_index,target_bus,tod_band,severity,condition,advisory_error,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,n_cited_causes,n_topk
678,10,night,mild,B,,0.0,0.0,0.0,1.0,2,4
1912,4,am_rush,mild,RANDOM_bus,,0.2833333333333334,0.20375,0.23575757575757578,0.7166666666666666,3,4
481,10,am_rush,moderate,RANDOM_bus,,0.2816666666666666,0.19875,0.23138528138528136,0.7183333333333333,3,4
1022,14,am_rush,severe,RANDOM_bus,,0.2983333333333333,0.21625,0.24965367965367968,0.7016666666666667,3,4
909,14,evening,moderate,RANDOM_bus,,0.26666666666666666,0.1875,0.2183549783549784,0.7333333333333334,3,4
1987,10,midday,mild,RANDOM_bus,,0.26166666666666666,0.18375,0.21386147186147192,0.7383333333333333,3,4
215,14,midday,moderate,RANDOM_bus,,0.31333333333333335,0.21375,0.25134199134199137,0.6866666666666668,3,4
494,3,midday,severe,RANDOM_bus,,0.26166666666666666,0.17375,0.20534199134199135,0.7383333333333334,3,4
680,10,night,mild,RANDOM_bus,,0.27,0.18625,0.2180952380952381,0.73,3,4
1017,14,night,moderate,RANDOM_bus,,0.30666666666666664,0.215,0.2505627705627706,0.6933333333333332,3,4
676,10,night,severe,RANDOM_bus,,0.305,0.20375,0.2405281385281385,0.695,3,4
1170,14,pm_rush,mild,RANDOM_bus,,0.2633333333333333,0.18625,0.21653679653679653,0.7366666666666666,3,4
1138,10,pm_rush,moderate,RANDOM_bus,,0.25166666666666665,0.17625,0.20558441558441562,0.7483333333333334,3,4
1150,9,pm_rush,severe,RANDOM_bus,,0.2766666666666666,0.19125,0.2241558441558442,0.7233333333333334,3,4
167,3,am_rush,mild,RANDOM_bus,,0.26166666666666666,0.18125,0.211991341991342,0.7383333333333334,3,4
1019,14,am_rush,moderate,RANDOM_bus,,0.285,0.19875,0.231991341991342,0.715,3,4
448,13,am_rush,severe,RANDOM_bus,,0.2633333333333333,0.1825,0.2135930735930736,0.7366666666666667,3,4
911,14,evening,moderate,RANDOM_bus,,0.2866666666666667,0.20125,0.2343722943722944,0.7133333333333334,3,4
1969,13,midday,moderate,RANDOM_bus,,0.2633333333333333,0.19125,0.2206060606060606,0.7366666666666667,3,4
207,13,midday,severe,RANDOM_bus,,0.2733333333333333,0.195,0.2260606060606061,0.7266666666666667,3,4
678,10,night,mild,RANDOM_bus,,0.25166666666666665,0.1775,0.20636363636363642,0.7483333333333334,3,4
1912,4,am_rush,mild,RANDOM_zone,,0.655,0.70625,0.643595815948757,0.345,3,4
481,10,am_rush,moderate,RANDOM_zone,,0.6716666666666665,0.71625,0.6591165892930598,0.32833333333333337,3,4
1022,14,am_rush,severe,RANDOM_zone,,0.6783333333333335,0.71625,0.6606485279426457,0.3216666666666667,3,4
909,14,evening,moderate,RANDOM_zone,,0.3233333333333333,0.69,0.42599999999999993,0.6766666666666665,3,4
1987,10,midday,mild,RANDOM_zone,,1.0,0.69875,0.8034761904761905,0.0,3,4
215,14,midday,moderate,RANDOM_zone,,0.6966666666666665,0.73,0.695047619047619,0.30333333333333334,3,4
494,3,midday,severe,RANDOM_zone,,1.0,0.7225,0.8209523809523809,0.0,3,4
680,10,night,mild,RANDOM_zone,,1.0,0.695,0.7982857142857143,0.0,3,4
1017,14,night,moderate,RANDOM_zone,,0.33,0.72,0.4385,0.67,3,4
676,10,night,severe,RANDOM_zone,,0.6633333333333333,0.71375,0.6520490098137156,0.3366666666666667,3,4
1170,14,pm_rush,mild,RANDOM_zone,,0.675,0.74,0.6892380952380952,0.32500000000000007,3,4
1138,10,pm_rush,moderate,RANDOM_zone,,0.6533333333333333,0.675,0.6221369219016277,0.34666666666666673,3,4
1150,9,pm_rush,severe,RANDOM_zone,,1.0,0.70375,0.8053809523809524,0.0,3,4
167,3,am_rush,mild,RANDOM_zone,,1.0,0.69625,0.7992380952380952,0.0,3,4
1019,14,am_rush,moderate,RANDOM_zone,,0.35,0.705,0.451,0.6500000000000001,3,4
448,13,am_rush,severe,RANDOM_zone,,0.6866666666666665,0.725,0.685047619047619,0.3133333333333334,3,4
911,14,evening,moderate,RANDOM_zone,,0.32666666666666666,0.665,0.4215,0.6733333333333335,3,4
1969,13,midday,moderate,RANDOM_zone,,0.7116666666666666,0.7075,0.6760258564964449,0.28833333333333333,3,4
207,13,midday,severe,RANDOM_zone,,0.675,0.7125,0.6642002703179173,0.325,3,4
678,10,night,mild,RANDOM_zone,,0.6466666666666667,0.68,0.6438095238095238,0.35333333333333333,3,4
