sample_index,target_node,tod_band,congestion,round,used_correction,faithfulness_f1,cause_precision,cause_recall,hallucination_rate,n_cited_causes,n_missed,advisory_error
4397,77,am_rush,medium,0,False,0.8571428571428571,1.0,0.75,0.0,2,2,
5257,12,am_rush,medium,0,False,0.7692307692307693,1.0,0.625,0.0,2,3,
2917,77,am_rush,medium,0,False,0.4,1.0,0.25,0.0,2,6,
2917,77,am_rush,medium,1,True,1.0,1.0,1.0,0.0,7,0,
5246,12,am_rush,medium,0,False,0.2,0.5,0.125,0.5,2,7,
5246,12,am_rush,medium,1,True,1.0,1.0,1.0,0.0,5,0,
1194,56,am_rush,medium,0,False,0.5454545454545454,1.0,0.375,0.0,3,5,
1194,56,am_rush,medium,1,True,1.0,1.0,1.0,0.0,6,0,
3212,84,am_rush,medium,0,False,0.7692307692307693,1.0,0.625,0.0,3,3,
6660,77,am_rush,medium,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
6660,77,am_rush,medium,1,True,0.6666666666666666,1.0,0.5,0.0,4,4,
6660,77,am_rush,medium,2,True,0.7692307692307693,1.0,0.625,0.0,5,3,
6092,9,am_rush,high,0,False,0.7692307692307693,1.0,0.625,0.0,4,3,
2649,29,am_rush,high,0,False,0.5,0.5,0.5,0.5,2,4,
2649,29,am_rush,high,1,True,1.0,1.0,1.0,0.0,5,0,
4367,29,am_rush,high,0,False,0.5454545454545454,1.0,0.375,0.0,2,5,
4367,29,am_rush,high,1,True,1.0,1.0,1.0,0.0,5,0,
361,29,am_rush,high,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
361,29,am_rush,high,1,True,1.0,1.0,1.0,0.0,7,0,
1225,9,am_rush,high,0,False,1.0,1.0,1.0,0.0,5,0,
2660,77,am_rush,high,0,False,0.8571428571428571,1.0,0.75,0.0,3,2,
6119,9,am_rush,high,0,False,0.5454545454545454,1.0,0.375,0.0,2,5,
6119,9,am_rush,high,1,True,0.7692307692307693,1.0,0.625,0.0,5,3,
5866,12,midday,low,0,False,0.9333333333333333,1.0,0.875,0.0,2,1,
5849,197,midday,low,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
5849,197,midday,low,1,True,0.6666666666666666,1.0,0.5,0.0,4,4,
5849,197,midday,low,2,True,0.8571428571428571,1.0,0.75,0.0,5,2,
3831,131,midday,low,0,False,0.8571428571428571,1.0,0.75,0.0,2,2,
1813,62,midday,low,0,False,0.6666666666666666,1.0,0.5,0.0,3,4,
1813,62,midday,low,1,True,0.8571428571428571,1.0,0.75,0.0,6,2,
5861,91,midday,low,0,False,0.4,1.0,0.25,0.0,2,6,
5861,91,midday,low,1,True,1.0,1.0,1.0,0.0,7,0,
1836,91,midday,low,0,False,0.5454545454545454,1.0,0.375,0.0,2,5,
1836,91,midday,low,1,True,1.0,1.0,1.0,0.0,6,0,
5855,91,midday,low,0,False,0.8571428571428571,1.0,0.75,0.0,2,2,
3544,144,midday,medium,0,False,0.8571428571428571,1.0,0.75,0.0,3,2,
4987,144,midday,medium,0,False,0.7692307692307693,1.0,0.625,0.0,3,3,
6133,56,midday,medium,0,False,0.5454545454545454,1.0,0.375,0.0,2,5,
6133,56,midday,medium,1,True,1.0,1.0,1.0,0.0,7,0,
6150,56,midday,medium,0,False,0.9333333333333333,1.0,0.875,0.0,3,1,
1242,12,midday,medium,0,False,0.4,1.0,0.25,0.0,2,6,
1242,12,midday,medium,1,True,1.0,1.0,1.0,0.0,5,0,
2391,124,midday,medium,0,False,0.8571428571428571,1.0,0.75,0.0,3,2,
6134,144,midday,medium,0,False,0.7692307692307693,1.0,0.625,0.0,5,3,
3296,121,midday,high,0,False,0.7692307692307693,1.0,0.625,0.0,2,3,
5574,155,midday,high,0,False,0.5454545454545454,1.0,0.375,0.0,2,5,
5574,155,midday,high,1,True,0.9333333333333333,1.0,0.875,0.0,5,1,
982,150,midday,high,0,False,0.4,1.0,0.25,0.0,2,6,
982,150,midday,high,1,True,1.0,1.0,1.0,0.0,5,0,
5587,155,midday,high,0,False,0.7692307692307693,1.0,0.625,0.0,3,3,
2724,155,midday,high,0,False,0.6666666666666666,1.0,0.5,0.0,3,4,
2724,155,midday,high,1,True,1.0,1.0,1.0,0.0,6,0,
6735,16,midday,high,0,False,0.2222222222222222,1.0,0.125,0.0,1,7,
6735,16,midday,high,1,True,1.0,1.0,1.0,0.0,8,0,
3270,10,midday,high,0,False,0.5454545454545454,1.0,0.375,0.0,2,5,
3270,10,midday,high,1,True,0.7692307692307693,1.0,0.625,0.0,5,3,
1879,61,pm_rush,low,0,False,0.8571428571428571,1.0,0.75,0.0,3,2,
1919,16,pm_rush,low,0,False,0.6666666666666666,1.0,0.5,0.0,1,4,
1919,16,pm_rush,low,1,True,0.8571428571428571,1.0,0.75,0.0,5,2,
5668,144,pm_rush,low,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
5668,144,pm_rush,low,1,True,0.6153846153846154,0.8,0.5,0.19999999999999996,5,4,
5668,144,pm_rush,low,2,True,0.6666666666666666,1.0,0.5,0.0,4,4,
5668,144,pm_rush,low,3,True,0.875,0.875,0.875,0.125,8,1,
1926,77,pm_rush,low,0,False,0.8571428571428571,1.0,0.75,0.0,6,2,
2210,96,pm_rush,low,0,False,0.8571428571428571,1.0,0.75,0.0,3,2,
5923,12,pm_rush,low,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
5923,12,pm_rush,low,1,True,0.9333333333333333,1.0,0.875,0.0,6,1,
1918,16,pm_rush,low,0,False,0.5454545454545454,1.0,0.375,0.0,2,5,
1918,16,pm_rush,low,1,True,1.0,1.0,1.0,0.0,8,0,
3644,155,pm_rush,medium,0,False,0.5454545454545454,1.0,0.375,0.0,3,5,
3644,155,pm_rush,medium,1,True,1.0,1.0,1.0,0.0,5,0,
1874,61,pm_rush,medium,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
1874,61,pm_rush,medium,1,True,1.0,1.0,1.0,0.0,4,0,
4222,12,pm_rush,medium,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
4222,12,pm_rush,medium,1,True,1.0,1.0,1.0,0.0,5,0,
4797,121,pm_rush,medium,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
4797,121,pm_rush,medium,1,True,0.5454545454545454,1.0,0.375,0.0,3,5,
4797,121,pm_rush,medium,2,True,0.7692307692307693,1.0,0.625,0.0,4,3,
1344,12,pm_rush,medium,0,False,0.7692307692307693,1.0,0.625,0.0,3,3,
765,12,pm_rush,medium,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
765,12,pm_rush,medium,1,True,0.8571428571428571,1.0,0.75,0.0,5,2,
4223,12,pm_rush,medium,0,False,0.8571428571428571,1.0,0.75,0.0,2,2,
1603,206,pm_rush,high,0,False,0.4,1.0,0.25,0.0,2,6,
1603,206,pm_rush,high,1,True,1.0,1.0,1.0,0.0,7,0,
3365,206,pm_rush,high,0,False,0.8571428571428571,1.0,0.75,0.0,3,2,
3894,91,pm_rush,high,0,False,1.0,1.0,1.0,0.0,4,0,
5049,38,pm_rush,high,0,False,0.7692307692307693,1.0,0.625,0.0,2,3,
6795,149,pm_rush,high,0,False,0.9333333333333333,1.0,0.875,0.0,2,1,
4767,155,pm_rush,high,0,False,0.8571428571428571,1.0,0.75,0.0,2,2,
3626,206,pm_rush,high,0,False,0.5454545454545454,1.0,0.375,0.0,2,5,
3626,206,pm_rush,high,1,True,0.9333333333333333,1.0,0.875,0.0,5,1,
2821,16,evening,low,0,False,0.8571428571428571,1.0,0.75,0.0,4,2,
6828,193,evening,low,0,False,0.7692307692307693,1.0,0.625,0.0,2,3,
6581,197,evening,low,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
6581,197,evening,low,1,True,0.6666666666666666,1.0,0.5,0.0,4,4,
6581,197,evening,low,2,True,0.7692307692307693,1.0,0.625,0.0,5,3,
219,16,evening,low,0,False,0.7692307692307693,1.0,0.625,0.0,2,3,
236,16,evening,low,0,False,0.5454545454545454,1.0,0.375,0.0,2,5,
236,16,evening,low,1,True,0.7692307692307693,1.0,0.625,0.0,5,3,
2530,135,evening,low,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
2530,135,evening,low,1,True,0.6666666666666666,1.0,0.5,0.0,4,4,
2530,135,evening,low,2,True,0.8571428571428571,1.0,0.75,0.0,5,2,
6292,77,evening,low,0,False,0.8571428571428571,1.0,0.75,0.0,2,2,
5424,142,evening,medium,0,False,0.5454545454545454,1.0,0.375,0.0,3,5,
5424,142,evening,medium,1,True,0.8571428571428571,1.0,0.75,0.0,6,2,
5702,206,evening,medium,0,False,0.42857142857142855,0.5,0.375,0.5,2,5,
5702,206,evening,medium,1,True,1.0,1.0,1.0,0.0,5,0,
5421,145,evening,medium,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
5421,145,evening,medium,1,True,0.9333333333333333,1.0,0.875,0.0,5,1,
5716,155,evening,medium,0,False,0.8571428571428571,1.0,0.75,0.0,2,2,
5385,155,evening,medium,0,False,0.8571428571428571,1.0,0.75,0.0,2,2,
5423,142,evening,medium,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
5423,142,evening,medium,1,True,0.6666666666666666,1.0,0.5,0.0,3,4,
5423,142,evening,medium,2,True,0.6666666666666666,1.0,0.5,0.0,2,4,
5423,142,evening,medium,3,True,0.6666666666666666,1.0,0.5,0.0,3,4,
5420,145,evening,medium,0,False,0.4,1.0,0.25,0.0,2,6,
5420,145,evening,medium,1,True,1.0,1.0,1.0,0.0,8,0,
3370,206,evening,high,0,False,0.6666666666666666,1.0,0.5,0.0,2,4,
3370,206,evening,high,1,True,0.7692307692307693,1.0,0.625,0.0,5,3,
3369,206,evening,high,0,False,0.6666666666666666,1.0,0.5,0.0,3,4,
3369,206,evening,high,1,True,0.6666666666666666,1.0,0.5,0.0,4,4,
3369,206,evening,high,2,True,0.4,1.0,0.25,0.0,2,6,
3369,206,evening,high,3,True,1.0,1.0,1.0,0.0,7,0,
