sample_index,target_node,tod_band,congestion,condition,source,cause_precision,cause_recall,faithfulness_f1,hallucination_rate,n_cited_causes,n_topk
6735,16,midday,high,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
6735,16,midday,high,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
3270,10,midday,high,A,committed,1.0,0.75,0.8571428571428571,0.0,3.0,8.0
3270,10,midday,high,B,committed,0.5,0.375,0.42857142857142855,0.5,2.0,8.0
1879,61,pm_rush,low,A,committed,1.0,0.75,0.8571428571428571,0.0,2.0,8.0
1879,61,pm_rush,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
1919,16,pm_rush,low,A,committed,1.0,0.625,0.7692307692307693,0.0,3.0,8.0
1919,16,pm_rush,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5668,144,pm_rush,low,A,committed,1.0,0.25,0.4,0.0,2.0,8.0
5668,144,pm_rush,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
1926,77,pm_rush,low,A,committed,0.5,0.625,0.5555555555555556,0.5,2.0,8.0
1926,77,pm_rush,low,B,committed,0.0,0.0,0.0,1.0,2.0,8.0
2210,96,pm_rush,low,A,committed,1.0,0.5,0.6666666666666666,0.0,2.0,8.0
2210,96,pm_rush,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5923,12,pm_rush,low,A,committed,1.0,0.5,0.6666666666666666,0.0,2.0,8.0
5923,12,pm_rush,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
1918,16,pm_rush,low,A,committed,1.0,0.5,0.6666666666666666,0.0,2.0,8.0
1918,16,pm_rush,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
3644,155,pm_rush,medium,A,committed,1.0,1.0,1.0,0.0,2.0,8.0
3644,155,pm_rush,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
1874,61,pm_rush,medium,A,committed,1.0,0.625,0.7692307692307693,0.0,3.0,8.0
1874,61,pm_rush,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
4222,12,pm_rush,medium,A,committed,1.0,0.75,0.8571428571428571,0.0,2.0,8.0
4222,12,pm_rush,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
4797,121,pm_rush,medium,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
4797,121,pm_rush,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
1344,12,pm_rush,medium,A,committed,1.0,0.375,0.5454545454545454,0.0,3.0,8.0
1344,12,pm_rush,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
765,12,pm_rush,medium,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
765,12,pm_rush,medium,B,committed,0.5,0.375,0.42857142857142855,0.5,2.0,8.0
4223,12,pm_rush,medium,A,committed,1.0,0.375,0.5454545454545454,0.0,2.0,8.0
4223,12,pm_rush,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
1603,206,pm_rush,high,A,committed,1.0,0.5,0.6666666666666666,0.0,3.0,8.0
1603,206,pm_rush,high,B,committed,0.0,0.0,0.0,1.0,2.0,8.0
3365,206,pm_rush,high,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
3365,206,pm_rush,high,B,committed,0.0,0.0,0.0,1.0,2.0,8.0
3894,91,pm_rush,high,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
3894,91,pm_rush,high,B,committed,1.0,0.5,0.6666666666666666,0.0,1.0,8.0
5049,38,pm_rush,high,A,committed,1.0,0.25,0.4,0.0,2.0,8.0
5049,38,pm_rush,high,B,committed,1.0,0.625,0.7692307692307693,0.0,1.0,8.0
6795,149,pm_rush,high,A,committed,1.0,0.625,0.7692307692307693,0.0,3.0,8.0
6795,149,pm_rush,high,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
4767,155,pm_rush,high,A,committed,1.0,0.75,0.8571428571428571,0.0,3.0,8.0
4767,155,pm_rush,high,B,committed,0.0,0.0,0.0,1.0,2.0,8.0
3626,206,pm_rush,high,A,committed,1.0,0.625,0.7692307692307693,0.0,3.0,8.0
3626,206,pm_rush,high,B,committed,0.0,0.0,0.0,1.0,2.0,8.0
2821,16,evening,low,A,committed,1.0,0.75,0.8571428571428571,0.0,3.0,8.0
2821,16,evening,low,B,committed,1.0,0.125,0.2222222222222222,0.0,1.0,8.0
6828,193,evening,low,A,committed,1.0,0.875,0.9333333333333333,0.0,3.0,8.0
6828,193,evening,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
6581,197,evening,low,A,committed,1.0,0.875,0.9333333333333333,0.0,2.0,8.0
6581,197,evening,low,B,committed,0.5,0.75,0.6,0.5,2.0,8.0
219,16,evening,low,A,committed,1.0,0.125,0.2222222222222222,0.0,1.0,8.0
219,16,evening,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
236,16,evening,low,A,committed,1.0,0.5,0.6666666666666666,0.0,2.0,8.0
236,16,evening,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
2530,135,evening,low,A,committed,1.0,0.75,0.8571428571428571,0.0,2.0,8.0
2530,135,evening,low,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
6292,77,evening,low,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
6292,77,evening,low,B,committed,0.5,0.5,0.5,0.5,2.0,8.0
5424,142,evening,medium,A,committed,1.0,0.5,0.6666666666666666,0.0,3.0,8.0
5424,142,evening,medium,B,committed,0.5,0.5,0.5,0.5,2.0,8.0
5702,206,evening,medium,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
5702,206,evening,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
5421,145,evening,medium,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
5421,145,evening,medium,B,committed,0.5,0.25,0.3333333333333333,0.5,2.0,8.0
5716,155,evening,medium,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
5716,155,evening,medium,B,committed,0.0,0.0,0.0,1.0,2.0,8.0
5385,155,evening,medium,A,committed,1.0,0.5,0.6666666666666666,0.0,2.0,8.0
5385,155,evening,medium,B,committed,0.0,0.0,0.0,1.0,2.0,8.0
5423,142,evening,medium,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
5423,142,evening,medium,B,committed,1.0,0.5,0.6666666666666666,0.0,1.0,8.0
5420,145,evening,medium,A,committed,1.0,0.875,0.9333333333333333,0.0,2.0,8.0
5420,145,evening,medium,B,committed,0.0,0.0,0.0,1.0,1.0,8.0
3370,206,evening,high,A,committed,1.0,0.75,0.8571428571428571,0.0,2.0,8.0
3370,206,evening,high,B,committed,0.0,0.0,0.0,1.0,2.0,8.0
3369,206,evening,high,A,committed,1.0,0.625,0.7692307692307693,0.0,2.0,8.0
3369,206,evening,high,B,committed,0.0,0.0,0.0,1.0,3.0,8.0
4289,16,night,low,A_rand,new,1.0,0.375,0.5454545454545454,0.0,2,8
5464,54,night,low,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
6643,51,night,low,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
1740,166,night,low,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
5460,54,night,low,A_rand,new,1.0,0.75,0.8571428571428571,0.0,4,8
6592,197,night,low,A_rand,new,1.0,1.0,1.0,0.0,4,8
3145,125,night,low,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
5479,16,night,medium,A_rand,new,1.0,0.375,0.5454545454545454,0.0,3,8
6058,196,night,medium,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
6335,105,night,medium,A_rand,new,1.0,0.625,0.7692307692307693,0.0,1,8
6615,197,night,medium,A_rand,new,1.0,0.75,0.8571428571428571,0.0,2,8
6316,77,night,medium,A_rand,new,1.0,0.875,0.9333333333333333,0.0,4,8
1154,197,night,medium,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
3163,51,night,medium,A_rand,new,1.0,0.75,0.8571428571428571,0.0,2,8
3506,16,am_rush,low,A_rand,new,1.0,0.625,0.7692307692307693,0.0,3,8
3532,56,am_rush,low,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
1770,16,am_rush,low,A_rand,new,1.0,0.375,0.5454545454545454,0.0,1,8
5516,77,am_rush,low,A_rand,new,1.0,1.0,1.0,0.0,5,8
5536,12,am_rush,low,A_rand,new,1.0,0.875,0.9333333333333333,0.0,2,8
3515,16,am_rush,low,A_rand,new,1.0,0.25,0.4,0.0,2,8
5532,16,am_rush,low,A_rand,new,1.0,0.625,0.7692307692307693,0.0,3,8
4397,77,am_rush,medium,A_rand,new,1.0,0.75,0.8571428571428571,0.0,2,8
5257,12,am_rush,medium,A_rand,new,1.0,1.0,1.0,0.0,3,8
2917,77,am_rush,medium,A_rand,new,1.0,0.25,0.4,0.0,2,8
5246,12,am_rush,medium,A_rand,new,1.0,0.25,0.4,0.0,2,8
1194,56,am_rush,medium,A_rand,new,1.0,0.375,0.5454545454545454,0.0,3,8
3212,84,am_rush,medium,A_rand,new,1.0,0.625,0.7692307692307693,0.0,3,8
6660,77,am_rush,medium,A_rand,new,1.0,0.875,0.9333333333333333,0.0,3,8
6092,9,am_rush,high,A_rand,new,1.0,0.625,0.7692307692307693,0.0,2,8
2649,29,am_rush,high,A_rand,new,1.0,0.625,0.7692307692307693,0.0,2,8
4367,29,am_rush,high,A_rand,new,1.0,0.375,0.5454545454545454,0.0,2,8
361,29,am_rush,high,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
1225,9,am_rush,high,A_rand,new,1.0,0.375,0.5454545454545454,0.0,3,8
2660,77,am_rush,high,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
6119,9,am_rush,high,A_rand,new,1.0,0.625,0.7692307692307693,0.0,3,8
5866,12,midday,low,A_rand,new,1.0,0.875,0.9333333333333333,0.0,2,8
5849,197,midday,low,A_rand,new,1.0,0.25,0.4,0.0,2,8
3831,131,midday,low,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
1813,62,midday,low,A_rand,new,1.0,0.5,0.6666666666666666,0.0,3,8
5861,91,midday,low,A_rand,new,1.0,0.5,0.6666666666666666,0.0,3,8
1836,91,midday,low,A_rand,new,1.0,0.375,0.5454545454545454,0.0,1,8
5855,91,midday,low,A_rand,new,1.0,0.625,0.7692307692307693,0.0,3,8
3544,144,midday,medium,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
4987,144,midday,medium,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
6133,56,midday,medium,A_rand,new,1.0,0.375,0.5454545454545454,0.0,2,8
6150,56,midday,medium,A_rand,new,1.0,0.875,0.9333333333333333,0.0,3,8
1242,12,midday,medium,A_rand,new,1.0,0.25,0.4,0.0,2,8
2391,124,midday,medium,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
6134,144,midday,medium,A_rand,new,1.0,0.5,0.6666666666666666,0.0,3,8
3296,121,midday,high,A_rand,new,1.0,0.625,0.7692307692307693,0.0,2,8
5574,155,midday,high,A_rand,new,1.0,0.375,0.5454545454545454,0.0,2,8
982,150,midday,high,A_rand,new,1.0,0.375,0.5454545454545454,0.0,2,8
5587,155,midday,high,A_rand,new,1.0,0.625,0.7692307692307693,0.0,3,8
2724,155,midday,high,A_rand,new,1.0,0.5,0.6666666666666666,0.0,3,8
6735,16,midday,high,A_rand,new,1.0,0.125,0.2222222222222222,0.0,1,8
3270,10,midday,high,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
1879,61,pm_rush,low,A_rand,new,1.0,0.75,0.8571428571428571,0.0,3,8
1919,16,pm_rush,low,A_rand,new,1.0,0.5,0.6666666666666666,0.0,3,8
5668,144,pm_rush,low,A_rand,new,1.0,0.75,0.8571428571428571,0.0,3,8
1926,77,pm_rush,low,A_rand,new,1.0,0.75,0.8571428571428571,0.0,2,8
2210,96,pm_rush,low,A_rand,new,1.0,0.25,0.4,0.0,2,8
5923,12,pm_rush,low,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
1918,16,pm_rush,low,A_rand,new,1.0,0.625,0.7692307692307693,0.0,3,8
3644,155,pm_rush,medium,A_rand,new,1.0,0.375,0.5454545454545454,0.0,3,8
1874,61,pm_rush,medium,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
4222,12,pm_rush,medium,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
4797,121,pm_rush,medium,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
1344,12,pm_rush,medium,A_rand,new,1.0,0.625,0.7692307692307693,0.0,3,8
765,12,pm_rush,medium,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
4223,12,pm_rush,medium,A_rand,new,1.0,0.75,0.8571428571428571,0.0,3,8
1603,206,pm_rush,high,A_rand,new,1.0,0.25,0.4,0.0,2,8
3365,206,pm_rush,high,A_rand,new,1.0,0.625,0.7692307692307693,0.0,2,8
3894,91,pm_rush,high,A_rand,new,1.0,0.75,0.8571428571428571,0.0,3,8
5049,38,pm_rush,high,A_rand,new,1.0,0.625,0.7692307692307693,0.0,2,8
6795,149,pm_rush,high,A_rand,new,1.0,0.875,0.9333333333333333,0.0,2,8
4767,155,pm_rush,high,A_rand,new,1.0,0.75,0.8571428571428571,0.0,2,8
3626,206,pm_rush,high,A_rand,new,1.0,0.625,0.7692307692307693,0.0,3,8
2821,16,evening,low,A_rand,new,1.0,0.75,0.8571428571428571,0.0,4,8
6828,193,evening,low,A_rand,new,1.0,0.625,0.7692307692307693,0.0,2,8
6581,197,evening,low,A_rand,new,1.0,0.75,0.8571428571428571,0.0,3,8
219,16,evening,low,A_rand,new,1.0,0.5,0.6666666666666666,0.0,3,8
236,16,evening,low,A_rand,new,1.0,0.375,0.5454545454545454,0.0,1,8
2530,135,evening,low,A_rand,new,1.0,0.875,0.9333333333333333,0.0,3,8
6292,77,evening,low,A_rand,new,1.0,0.75,0.8571428571428571,0.0,2,8
5424,142,evening,medium,A_rand,new,1.0,0.375,0.5454545454545454,0.0,3,8
5702,206,evening,medium,A_rand,new,0.5,0.375,0.42857142857142855,0.5,2,8
5421,145,evening,medium,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
5716,155,evening,medium,A_rand,new,1.0,0.75,0.8571428571428571,0.0,2,8
5385,155,evening,medium,A_rand,new,1.0,0.75,0.8571428571428571,0.0,4,8
5423,142,evening,medium,A_rand,new,1.0,0.625,0.7692307692307693,0.0,3,8
5420,145,evening,medium,A_rand,new,1.0,0.375,0.5454545454545454,0.0,2,8
3370,206,evening,high,A_rand,new,1.0,0.5,0.6666666666666666,0.0,2,8
3369,206,evening,high,A_rand,new,1.0,0.5,0.6666666666666666,0.0,3,8
4289,16,night,low,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,1,8
5464,54,night,low,A_mismatch,new,1.0,0.375,0.5454545454545454,0.0,2,8
6643,51,night,low,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
1740,166,night,low,A_mismatch,new,1.0,0.875,0.9333333333333333,0.0,2,8
5460,54,night,low,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,1,8
6592,197,night,low,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
3145,125,night,low,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
5479,16,night,medium,A_mismatch,new,1.0,0.375,0.5454545454545454,0.0,3,8
6058,196,night,medium,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,2,8
6335,105,night,medium,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
6615,197,night,medium,A_mismatch,new,1.0,0.875,0.9333333333333333,0.0,3,8
6316,77,night,medium,A_mismatch,new,1.0,0.25,0.4,0.0,2,8
1154,197,night,medium,A_mismatch,new,1.0,0.875,0.9333333333333333,0.0,3,8
3163,51,night,medium,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,4,8
3506,16,am_rush,low,A_mismatch,new,1.0,0.375,0.5454545454545454,0.0,3,8
3532,56,am_rush,low,A_mismatch,new,1.0,0.375,0.5454545454545454,0.0,3,8
1770,16,am_rush,low,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,3,8
5516,77,am_rush,low,A_mismatch,new,1.0,0.875,0.9333333333333333,0.0,4,8
5536,12,am_rush,low,A_mismatch,new,0.5,0.75,0.6,0.5,2,8
3515,16,am_rush,low,A_mismatch,new,1.0,0.125,0.2222222222222222,0.0,1,8
5532,16,am_rush,low,A_mismatch,new,1.0,0.375,0.5454545454545454,0.0,3,8
4397,77,am_rush,medium,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,3,8
5257,12,am_rush,medium,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
2917,77,am_rush,medium,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
5246,12,am_rush,medium,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
1194,56,am_rush,medium,A_mismatch,new,1.0,1.0,1.0,0.0,2,8
3212,84,am_rush,medium,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,2,8
6660,77,am_rush,medium,A_mismatch,new,1.0,0.875,0.9333333333333333,0.0,3,8
6092,9,am_rush,high,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,2,8
2649,29,am_rush,high,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,3,8
4367,29,am_rush,high,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,2,8
361,29,am_rush,high,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,1,8
1225,9,am_rush,high,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,1,8
2660,77,am_rush,high,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
6119,9,am_rush,high,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,3,8
5866,12,midday,low,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,2,8
5849,197,midday,low,A_mismatch,new,1.0,0.375,0.5454545454545454,0.0,2,8
3831,131,midday,low,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,2,8
1813,62,midday,low,A_mismatch,new,1.0,0.75,0.8571428571428571,0.0,5,8
5861,91,midday,low,A_mismatch,new,1.0,0.625,0.7692307692307693,0.0,3,8
1836,91,midday,low,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,1,8
5855,91,midday,low,A_mismatch,new,1.0,0.5,0.6666666666666666,0.0,3,8
